销售日期,分类名称,销量(千克)
2020-12-07,花叶类,197.718
2020-12-08,花叶类,183.98
2020-12-09,花叶类,180.673
2020-12-10,花叶类,188.539
2020-12-11,花叶类,212.51
2020-12-12,花叶类,269.619
2020-12-13,花叶类,375.781
2020-12-14,花叶类,197.654
2020-12-15,花叶类,203.808
2020-12-16,花叶类,152.029
2020-12-17,花叶类,167.799
2020-12-18,花叶类,150.625
2020-12-19,花叶类,266.55
2020-12-20,花叶类,276.911
2020-12-21,花叶类,136.041
2020-12-22,花叶类,152.185
2020-12-23,花叶类,143.732
2020-12-24,花叶类,218.53300000000002
2020-12-25,花叶类,159.654
2020-12-26,花叶类,285.224
2020-12-27,花叶类,288.755
2020-12-28,花叶类,251.455
2020-12-29,花叶类,223.512
2020-12-30,花叶类,146.39
2020-12-31,花叶类,179.177
2021-01-01,花叶类,224.797
2021-01-02,花叶类,212.911
2021-01-03,花叶类,224.88
2021-01-04,花叶类,177.801
2021-01-05,花叶类,154.654
2021-01-06,花叶类,176.824
2021-01-07,花叶类,161.62800000000001
2021-01-08,花叶类,234.462
2021-01-09,花叶类,233.427
2021-01-10,花叶类,250.645
2021-01-11,花叶类,182.204
2021-01-12,花叶类,173.449
2021-01-13,花叶类,172.101
2021-01-14,花叶类,148.947
2021-01-15,花叶类,171.213
2021-01-16,花叶类,252.825
2021-01-17,花叶类,228.991
2021-01-18,花叶类,167.119
2021-01-19,花叶类,216.055
2021-01-20,花叶类,197.824
2021-01-21,花叶类,219.93
2021-01-22,花叶类,218.136
2021-01-23,花叶类,214.815
2021-01-24,花叶类,350.342
2021-01-25,花叶类,224.149
2021-01-26,花叶类,215.643
2021-01-27,花叶类,208.029
2021-01-28,花叶类,160.38400000000001
2021-01-29,花叶类,151.962
2021-01-30,花叶类,236.77700000000002
2021-01-31,花叶类,249.269
2021-02-01,花叶类,181.621
2021-02-02,花叶类,193.791
2021-02-03,花叶类,223.102
2021-02-04,花叶类,197.832
2021-02-05,花叶类,194.292
2021-02-06,花叶类,212.817
2021-02-07,花叶类,193.778
2021-02-08,花叶类,234.405
2021-02-09,花叶类,282.558
2021-02-10,花叶类,499.848
2021-02-13,花叶类,243.48499999999999
2021-02-14,花叶类,195.74
2021-02-15,花叶类,300.13
2021-02-16,花叶类,253.696
2021-02-17,花叶类,180.052
2021-02-18,花叶类,227.336
2021-02-19,花叶类,184.169
2021-02-20,花叶类,175.262
2021-02-21,花叶类,144.855
2021-02-22,花叶类,139.491
2021-02-23,花叶类,136.05
2021-02-24,花叶类,190.158
2021-02-25,花叶类,156.613
2021-02-26,花叶类,276.322
2021-02-27,花叶类,218.04
2021-02-28,花叶类,305.647
2021-03-01,花叶类,241.709
2021-03-02,花叶类,182.984
2021-03-03,花叶类,186.008
2021-03-04,花叶类,145.281
2021-03-05,花叶类,211.185
2021-03-06,花叶类,288.817
2021-03-07,花叶类,257.809
2021-03-08,花叶类,211.746
2021-03-09,花叶类,170.907
2021-03-10,花叶类,119.599
2021-03-11,花叶类,158.357
2021-03-12,花叶类,152.44
2021-03-13,花叶类,169.055
2021-03-14,花叶类,176.032
2021-03-15,花叶类,90.812
2021-03-16,花叶类,100.121
2021-03-17,花叶类,107.653
2021-03-18,花叶类,128.058
2021-03-19,花叶类,140.893
2021-03-20,花叶类,267.979
2021-03-21,花叶类,199.712
2021-03-22,花叶类,115.022
2021-03-23,花叶类,134.706
2021-03-24,花叶类,103.505
2021-03-25,花叶类,86.632
2021-03-26,花叶类,167.327
2021-03-27,花叶类,199.727
2021-03-28,花叶类,161.164
2021-03-29,花叶类,111.308
2021-03-30,花叶类,130.803
2021-03-31,花叶类,143.294
2021-04-01,花叶类,162.291
2021-04-02,花叶类,178.71
2021-04-03,花叶类,212.267
2021-04-04,花叶类,192.021
2021-04-05,花叶类,178.469
2021-04-06,花叶类,55.611
2021-04-07,花叶类,198.107
2021-04-08,花叶类,136.899
2021-04-09,花叶类,145.026
2021-04-10,花叶类,203.93
2021-04-11,花叶类,211.619
2021-04-12,花叶类,148.371
2021-04-13,花叶类,127.207
2021-04-14,花叶类,151.83
2021-04-15,花叶类,130.081
2021-04-16,花叶类,130.808
2021-04-17,花叶类,194.951
2021-04-18,花叶类,194.451
2021-04-19,花叶类,134.781
2021-04-20,花叶类,150.715
2021-04-21,花叶类,182.939
2021-04-22,花叶类,150.806
2021-04-23,花叶类,171.226
2021-04-24,花叶类,264.803
2021-04-25,花叶类,221.785
2021-04-26,花叶类,151.258
2021-04-27,花叶类,135.216
2021-04-28,花叶类,125.4
2021-04-29,花叶类,134.898
2021-04-30,花叶类,138.585
2021-05-01,花叶类,171.826
2021-05-02,花叶类,198.544
2021-05-03,花叶类,226.265
2021-05-04,花叶类,200.985
2021-05-05,花叶类,203.532
2021-05-06,花叶类,151.84
2021-05-07,花叶类,147.508
2021-05-08,花叶类,160.786
2021-05-09,花叶类,216.668
2021-05-10,花叶类,157.721
2021-05-11,花叶类,190.06
2021-05-12,花叶类,182.519
2021-05-13,花叶类,157.293
2021-05-14,花叶类,191.116
2021-05-15,花叶类,258.278
2021-05-16,花叶类,212.588
2021-05-17,花叶类,176.65800000000002
2021-05-18,花叶类,173.27100000000002
2021-05-19,花叶类,140.823
2021-05-20,花叶类,148.851
2021-05-21,花叶类,106.472
2021-05-22,花叶类,190.363
2021-05-23,花叶类,217.25900000000001
2021-05-24,花叶类,148.831
2021-05-25,花叶类,130.325
2021-05-26,花叶类,166.467
2021-05-27,花叶类,145.237
2021-05-28,花叶类,123.824
2021-05-29,花叶类,180.875
2021-05-30,花叶类,196.236
2021-05-31,花叶类,191.98
2021-06-01,花叶类,151.091
2021-06-02,花叶类,178.517
2021-06-03,花叶类,142.37199999999999
2021-06-04,花叶类,121.093
2021-06-05,花叶类,204.287
2021-06-06,花叶类,222.817
2021-06-07,花叶类,148.539
2021-06-08,花叶类,144.482
2021-06-09,花叶类,126.359
2021-06-10,花叶类,122.004
2021-06-11,花叶类,129.982
2021-06-12,花叶类,210.267
2021-06-13,花叶类,211.28
2021-06-14,花叶类,169.858
2021-06-15,花叶类,127.719
2021-06-16,花叶类,104.991
2021-06-17,花叶类,113.507
2021-06-18,花叶类,150.875
2021-06-19,花叶类,203.369
2021-06-20,花叶类,202.307
2021-06-21,花叶类,150.07
2021-06-22,花叶类,126.151
2021-06-23,花叶类,123.214
2021-06-24,花叶类,127.946
2021-06-25,花叶类,146.582
2021-06-26,花叶类,197.69
2021-06-27,花叶类,213.547
2021-06-28,花叶类,125.782
2021-06-29,花叶类,110.196
2021-06-30,花叶类,125.415
2021-07-01,花叶类,148.597
2021-07-02,花叶类,133.586
2021-07-03,花叶类,197.925
2021-07-04,花叶类,197.322
2021-07-05,花叶类,176.276
2021-07-06,花叶类,173.864
2021-07-07,花叶类,149.514
2021-07-08,花叶类,143.491
2021-07-09,花叶类,114.966
2021-07-10,花叶类,176.065
2021-07-11,花叶类,212.957
2021-07-12,花叶类,140.305
2021-07-13,花叶类,149.772
2021-07-14,花叶类,163.863
2021-07-15,花叶类,141.75
2021-07-16,花叶类,236.055
2021-07-17,花叶类,223.655
2021-07-18,花叶类,234.028
2021-07-19,花叶类,174.827
2021-07-20,花叶类,152.362
2021-07-21,花叶类,152.653
2021-07-22,花叶类,154.625
2021-07-23,花叶类,150.636
2021-07-24,花叶类,206.923
2021-07-25,花叶类,248.502
2021-07-26,花叶类,155.365
2021-07-27,花叶类,189.082
2021-07-28,花叶类,205.803
2021-07-29,花叶类,193.613
2021-07-30,花叶类,214.155
2021-07-31,花叶类,255.972
2021-08-01,花叶类,251.27100000000002
2021-08-02,花叶类,283.115
2021-08-03,花叶类,264.825
2021-08-04,花叶类,313.269
2021-08-05,花叶类,245.944
2021-08-06,花叶类,189.756
2021-08-07,花叶类,232.089
2021-08-08,花叶类,265.775
2021-08-09,花叶类,234.344
2021-08-10,花叶类,193.189
2021-08-11,花叶类,225.45
2021-08-12,花叶类,275.876
2021-08-13,花叶类,274.08
2021-08-14,花叶类,281.13
2021-08-15,花叶类,297.499
2021-08-16,花叶类,190.573
2021-08-17,花叶类,183.216
2021-08-18,花叶类,185.59
2021-08-19,花叶类,183.245
2021-08-20,花叶类,195.116
2021-08-21,花叶类,241.956
2021-08-22,花叶类,281.156
2021-08-23,花叶类,178.374
2021-08-24,花叶类,168.012
2021-08-25,花叶类,145.216
2021-08-26,花叶类,255.505
2021-08-27,花叶类,259.053
2021-08-28,花叶类,244.915
2021-08-29,花叶类,229.082
2021-08-30,花叶类,178.587
2021-08-31,花叶类,165.821
2021-09-01,花叶类,177.642
2021-09-02,花叶类,161.364
2021-09-03,花叶类,149.219
2021-09-04,花叶类,221.353
2021-09-05,花叶类,238.552
2021-09-06,花叶类,191.936
2021-09-07,花叶类,163.316
2021-09-08,花叶类,161.268
2021-09-09,花叶类,120.989
2021-09-10,花叶类,133.882
2021-09-11,花叶类,257.43
2021-09-12,花叶类,275.532
2021-09-13,花叶类,152.695
2021-09-14,花叶类,163.291
2021-09-15,花叶类,150.327
2021-09-16,花叶类,97.458
2021-09-17,花叶类,128.348
2021-09-18,花叶类,134.22
2021-09-19,花叶类,216.23
2021-09-20,花叶类,224.186
2021-09-21,花叶类,239.505
2021-09-22,花叶类,137.039
2021-09-23,花叶类,107.29
2021-09-24,花叶类,104.375
2021-09-25,花叶类,185.574
2021-09-26,花叶类,148.806
2021-09-27,花叶类,96.875
2021-09-28,花叶类,104.01
2021-09-29,花叶类,113.135
2021-09-30,花叶类,106.123
2021-10-01,花叶类,205.461
2021-10-02,花叶类,168.625
2021-10-03,花叶类,174.094
2021-10-04,花叶类,170.882
2021-10-05,花叶类,180.889
2021-10-06,花叶类,264.068
2021-10-07,花叶类,183.467
2021-10-08,花叶类,138.096
2021-10-09,花叶类,132.744
2021-10-10,花叶类,262.562
2021-10-11,花叶类,88.447
2021-10-12,花叶类,99.674
2021-10-13,花叶类,88.237
2021-10-14,花叶类,77.809
2021-10-15,花叶类,146.297
2021-10-16,花叶类,273.582
2021-10-17,花叶类,163.589
2021-10-18,花叶类,84.784
2021-10-19,花叶类,78.684
2021-10-20,花叶类,109.339
2021-10-21,花叶类,79.858
2021-10-22,花叶类,75.936
2021-10-23,花叶类,99.498
2021-10-24,花叶类,101.014
2021-10-25,花叶类,48.556
2021-10-26,花叶类,66.948
2021-10-27,花叶类,94.727
2021-10-28,花叶类,80.941
2021-10-29,花叶类,89.73
2021-10-30,花叶类,140.981
2021-10-31,花叶类,92.342
2021-11-01,花叶类,60.969
2021-11-02,花叶类,68.055
2021-11-03,花叶类,50.572
2021-11-04,花叶类,64.051
2021-11-05,花叶类,83.345
2021-11-06,花叶类,108.548
2021-11-07,花叶类,145.887
2021-11-08,花叶类,66.376
2021-11-09,花叶类,44.431
2021-11-10,花叶类,49.063
2021-11-11,花叶类,48.787
2021-11-12,花叶类,51.422
2021-11-13,花叶类,70.452
2021-11-14,花叶类,99.456
2021-11-15,花叶类,42.62
2021-11-16,花叶类,53.515
2021-11-17,花叶类,45.689
2021-11-18,花叶类,41.864
2021-11-19,花叶类,38.008
2021-11-20,花叶类,95.311
2021-11-21,花叶类,80.775
2021-11-22,花叶类,42.247
2021-11-23,花叶类,55.622
2021-11-24,花叶类,39.991
2021-11-25,花叶类,44.906
2021-11-26,花叶类,51.836
2021-11-27,花叶类,68.057
2021-11-28,花叶类,78.347
2021-11-29,花叶类,57.865
2021-11-30,花叶类,43.009
2021-12-01,花叶类,73.794
2021-12-02,花叶类,58.359
2021-12-03,花叶类,73.847
2021-12-04,花叶类,93.905
2021-12-05,花叶类,115.184
2021-12-06,花叶类,64.231
2021-12-07,花叶类,63.263
2021-12-08,花叶类,70.377
2021-12-09,花叶类,57.675
2021-12-10,花叶类,68.296
2021-12-11,花叶类,141.287
2021-12-12,花叶类,116.349
2021-12-13,花叶类,61.915
2021-12-14,花叶类,66.116
2021-12-15,花叶类,101.666
2021-12-16,花叶类,99.125
2021-12-17,花叶类,97.582
2021-12-18,花叶类,109.389
2021-12-19,花叶类,147.891
2021-12-20,花叶类,82.832
2021-12-21,花叶类,71.006
2021-12-22,花叶类,75.729
2021-12-23,花叶类,91.213
2021-12-24,花叶类,120.944
2021-12-25,花叶类,180.787
2021-12-26,花叶类,209.308
2021-12-27,花叶类,82.705
2021-12-28,花叶类,86.043
2021-12-29,花叶类,68.165
2021-12-30,花叶类,84.271
2021-12-31,花叶类,125.70100000000001
2022-01-01,花叶类,138.402
2022-01-02,花叶类,110.056
2022-01-03,花叶类,90.081
2022-01-04,花叶类,70.388
2022-01-05,花叶类,65.654
2022-01-06,花叶类,60.316
2022-01-07,花叶类,90.664
2022-01-08,花叶类,130.766
2022-01-09,花叶类,147.528
2022-01-10,花叶类,76.365
2022-01-11,花叶类,86.15
2022-01-12,花叶类,85.232
2022-01-13,花叶类,73.369
2022-01-14,花叶类,103.099
2022-01-15,花叶类,124.109
2022-01-16,花叶类,137.15
2022-01-17,花叶类,90.383
2022-01-18,花叶类,85.852
2022-01-19,花叶类,129.677
2022-01-20,花叶类,134.88
2022-01-21,花叶类,146.062
2022-01-22,花叶类,210.297
2022-01-23,花叶类,186.693
2022-01-24,花叶类,187.463
2022-01-25,花叶类,153.198
2022-01-26,花叶类,172.651
2022-01-27,花叶类,169.503
2022-01-28,花叶类,188.131
2022-01-29,花叶类,207.671
2022-01-30,花叶类,229.022
2022-02-01,花叶类,63.003
2022-02-02,花叶类,88.412
2022-02-03,花叶类,116.536
2022-02-04,花叶类,216.497
2022-02-05,花叶类,208.189
2022-02-06,花叶类,219.985
2022-02-07,花叶类,160.054
2022-02-08,花叶类,162.297
2022-02-09,花叶类,138.288
2022-02-10,花叶类,116.133
2022-02-11,花叶类,132.508
2022-02-12,花叶类,154.467
2022-02-13,花叶类,165.85
2022-02-14,花叶类,150.014
2022-02-15,花叶类,154.453
2022-02-16,花叶类,99.015
2022-02-17,花叶类,112.077
2022-02-18,花叶类,98.783
2022-02-19,花叶类,120.64
2022-02-20,花叶类,105.918
2022-02-21,花叶类,85.387
2022-02-22,花叶类,78.356
2022-02-23,花叶类,65.21
2022-02-24,花叶类,75.146
2022-02-25,花叶类,96.432
2022-02-26,花叶类,118.507
2022-02-27,花叶类,94.607
2022-02-28,花叶类,77.285
2022-03-01,花叶类,75.286
2022-03-02,花叶类,70.109
2022-03-03,花叶类,62.041
2022-03-04,花叶类,78.622
2022-03-05,花叶类,125.495
2022-03-06,花叶类,141.174
2022-03-07,花叶类,76.68599999999999
2022-03-08,花叶类,82.174
2022-03-09,花叶类,66.059
2022-03-10,花叶类,73.508
2022-03-11,花叶类,88.822
2022-03-12,花叶类,129.766
2022-03-13,花叶类,101.51
2022-03-14,花叶类,98.279
2022-03-15,花叶类,102.329
2022-03-16,花叶类,105.619
2022-03-17,花叶类,108.394
2022-03-18,花叶类,112.098
2022-03-19,花叶类,201.276
2022-03-20,花叶类,173.788
2022-03-21,花叶类,192.734
2022-03-22,花叶类,133.244
2022-03-23,花叶类,88.81099999999999
2022-03-24,花叶类,106.202
2022-03-25,花叶类,132.493
2022-03-26,花叶类,152.529
2022-03-27,花叶类,140.651
2022-03-28,花叶类,85.85
2022-03-29,花叶类,75.286
2022-03-30,花叶类,86.195
2022-03-31,花叶类,92.587
2022-04-01,花叶类,130.262
2022-04-02,花叶类,133.168
2022-04-03,花叶类,111.538
2022-04-04,花叶类,148.726
2022-04-05,花叶类,146.419
2022-04-06,花叶类,109.945
2022-04-07,花叶类,85.20100000000001
2022-04-08,花叶类,87.65
2022-04-09,花叶类,141.102
2022-04-10,花叶类,184.591
2022-04-11,花叶类,93.428
2022-04-12,花叶类,106.268
2022-04-13,花叶类,100.363
2022-04-14,花叶类,128.586
2022-04-15,花叶类,131.828
2022-04-16,花叶类,124.808
2022-04-17,花叶类,107.549
2022-04-18,花叶类,112.679
2022-04-19,花叶类,101.391
2022-04-20,花叶类,105.275
2022-04-21,花叶类,112.794
2022-04-22,花叶类,114.043
2022-04-23,花叶类,118.653
2022-04-24,花叶类,99.189
2022-04-25,花叶类,116.365
2022-04-26,花叶类,91.764
2022-04-27,花叶类,88.807
2022-04-28,花叶类,111.594
2022-04-29,花叶类,106.052
2022-04-30,花叶类,141.039
2022-05-01,花叶类,147.275
2022-05-02,花叶类,115.468
2022-05-03,花叶类,88.193
2022-05-04,花叶类,105.769
2022-05-05,花叶类,90.652
2022-05-06,花叶类,95.683
2022-05-07,花叶类,113.896
2022-05-08,花叶类,116.519
2022-05-09,花叶类,91.68
2022-05-10,花叶类,95.42
2022-05-11,花叶类,86.213
2022-05-12,花叶类,79.619
2022-05-13,花叶类,102.98
2022-05-14,花叶类,159.404
2022-05-15,花叶类,156.705
2022-05-16,花叶类,82.78
2022-05-17,花叶类,67.12
2022-05-18,花叶类,92.724
2022-05-19,花叶类,92.356
2022-05-20,花叶类,90.647
2022-05-21,花叶类,154.655
2022-05-22,花叶类,164.269
2022-05-23,花叶类,92.654
2022-05-24,花叶类,122.403
2022-05-25,花叶类,84.787
2022-05-26,花叶类,88.361
2022-05-27,花叶类,86.554
2022-05-28,花叶类,188.829
2022-05-29,花叶类,178.516
2022-05-30,花叶类,92.512
2022-05-31,花叶类,87.827
2022-06-01,花叶类,90.488
2022-06-02,花叶类,112.624
2022-06-03,花叶类,185.595
2022-06-04,花叶类,113.331
2022-06-05,花叶类,102.505
2022-06-06,花叶类,104.547
2022-06-07,花叶类,105.767
2022-06-08,花叶类,113.862
2022-06-09,花叶类,281.24699999999996
2022-06-10,花叶类,115.093
2022-06-11,花叶类,195.647
2022-06-12,花叶类,166.51500000000001
2022-06-13,花叶类,116.051
2022-06-14,花叶类,110.671
2022-06-15,花叶类,105.84
2022-06-16,花叶类,109.346
2022-06-17,花叶类,118.682
2022-06-18,花叶类,191.228
2022-06-19,花叶类,187.623
2022-06-20,花叶类,123.54
2022-06-21,花叶类,110.973
2022-06-22,花叶类,108.759
2022-06-23,花叶类,84.617
2022-06-24,花叶类,104.325
2022-06-25,花叶类,155.786
2022-06-26,花叶类,163.919
2022-06-27,花叶类,105.207
2022-06-28,花叶类,133.899
2022-06-29,花叶类,156.09
2022-06-30,花叶类,127.274
2022-07-01,花叶类,149.719
2022-07-02,花叶类,195.295
2022-07-03,花叶类,188.672
2022-07-04,花叶类,116.605
2022-07-05,花叶类,133.21
2022-07-06,花叶类,164.461
2022-07-07,花叶类,134.044
2022-07-08,花叶类,129.05
2022-07-09,花叶类,173.971
2022-07-10,花叶类,186.916
2022-07-11,花叶类,133.262
2022-07-12,花叶类,129.271
2022-07-13,花叶类,150.034
2022-07-14,花叶类,131.965
2022-07-15,花叶类,118.425
2022-07-16,花叶类,175.925
2022-07-17,花叶类,190.249
2022-07-18,花叶类,132.053
2022-07-19,花叶类,134.06
2022-07-20,花叶类,160.945
2022-07-21,花叶类,140.656
2022-07-22,花叶类,119.449
2022-07-23,花叶类,163.238
2022-07-24,花叶类,187.595
2022-07-25,花叶类,128.305
2022-07-26,花叶类,161.551
2022-07-27,花叶类,131.633
2022-07-28,花叶类,170.771
2022-07-29,花叶类,331.236
2022-07-30,花叶类,343.157
2022-07-31,花叶类,320.998
2022-08-01,花叶类,304.399
2022-08-02,花叶类,270.798
2022-08-03,花叶类,337.105
2022-08-04,花叶类,354.404
2022-08-05,花叶类,329.423
2022-08-06,花叶类,355.128
2022-08-07,花叶类,316.069
2022-08-08,花叶类,302.077
2022-08-09,花叶类,322.432
2022-08-10,花叶类,288.214
2022-08-11,花叶类,313.919
2022-08-12,花叶类,326.821
2022-08-13,花叶类,478.995
2022-08-14,花叶类,394.715
2022-08-15,花叶类,347.367
2022-08-16,花叶类,368.861
2022-08-17,花叶类,358.863
2022-08-18,花叶类,424.262
2022-08-19,花叶类,399.426
2022-08-20,花叶类,429.043
2022-08-21,花叶类,432.675
2022-08-22,花叶类,303.2
2022-08-23,花叶类,258.56
2022-08-24,花叶类,233.767
2022-08-25,花叶类,243.786
2022-08-26,花叶类,250.941
2022-08-27,花叶类,357.705
2022-08-28,花叶类,252.244
2022-08-29,花叶类,297.05
2022-08-30,花叶类,236.727
2022-08-31,花叶类,242.409
2022-09-01,花叶类,311.034
2022-09-02,花叶类,328.216
2022-09-03,花叶类,419.813
2022-09-04,花叶类,491.166
2022-09-05,花叶类,285.889
2022-09-06,花叶类,250.203
2022-09-07,花叶类,260.624
2022-09-08,花叶类,222.033
2022-09-09,花叶类,311.923
2022-09-10,花叶类,418.263
2022-09-11,花叶类,349.924
2022-09-12,花叶类,315.002
2022-09-13,花叶类,216.669
2022-09-14,花叶类,185.157
2022-09-15,花叶类,201.569
2022-09-16,花叶类,193.806
2022-09-17,花叶类,358.256
2022-09-18,花叶类,376.496
2022-09-19,花叶类,212.507
2022-09-20,花叶类,262.543
2022-09-21,花叶类,213.475
2022-09-22,花叶类,226.528
2022-09-23,花叶类,243.19
2022-09-24,花叶类,345.852
2022-09-25,花叶类,320.644
2022-09-26,花叶类,196.445
2022-09-27,花叶类,158.187
2022-09-28,花叶类,142.124
2022-09-29,花叶类,175.757
2022-09-30,花叶类,200.098
2022-10-01,花叶类,318.485
2022-10-02,花叶类,253.861
2022-10-03,花叶类,252.75300000000001
2022-10-04,花叶类,328.918
2022-10-05,花叶类,373.666
2022-10-06,花叶类,353.217
2022-10-07,花叶类,468.857
2022-10-08,花叶类,360.319
2022-10-09,花叶类,342.075
2022-10-10,花叶类,288.07
2022-10-11,花叶类,244.759
2022-10-12,花叶类,240.312
2022-10-13,花叶类,151.966
2022-10-14,花叶类,135.637
2022-10-15,花叶类,375.026
2022-10-16,花叶类,367.681
2022-10-17,花叶类,247.302
2022-10-18,花叶类,273.91
2022-10-19,花叶类,225.807
2022-10-20,花叶类,242.853
2022-10-21,花叶类,611.594
2022-10-22,花叶类,299.448
2022-10-23,花叶类,242.892
2022-10-24,花叶类,199.326
2022-10-25,花叶类,217.397
2022-10-26,花叶类,226.633
2022-10-27,花叶类,209.0
2022-10-28,花叶类,229.524
2022-10-29,花叶类,367.13100000000003
2022-10-30,花叶类,221.196
2022-10-31,花叶类,85.398
2022-11-01,花叶类,96.786
2022-11-03,花叶类,83.973
2022-11-05,花叶类,190.421
2022-11-06,花叶类,162.064
2022-11-07,花叶类,102.67699999999999
2022-11-08,花叶类,96.371
2022-11-09,花叶类,127.795
2022-11-10,花叶类,122.883
2022-11-11,花叶类,173.21
2022-11-12,花叶类,293.677
2022-11-13,花叶类,312.032
2022-11-14,花叶类,180.626
2022-11-15,花叶类,165.843
2022-11-16,花叶类,205.406
2022-11-17,花叶类,232.975
2022-11-18,花叶类,367.523
2022-11-19,花叶类,1265.473
